SICcode        Catcode        Category        SICname        MultSIC
3556        M2300        Industrial/commercial equipment & materials        Food products machinery        X
3559        M2300        Industrial/commercial equipment & materials        Special industry machinery, NEC        X
3561        M2300        Industrial/commercial equipment & materials        Pumps and pumping equipment        X
3562        M5000        Fabricated metal products        Ball and roller bearings        X
3563        M2300        Industrial/commercial equipment & materials        Air and gas compressors        X
3564        M2300        Industrial/commercial equipment & materials        Blowers and fans        X
3565        M2300        Industrial/commercial equipment & materials        Packaging machinery        X
3566        M2300        Industrial/commercial equipment & materials        Speed changers, drives, and gears        X
3567        M2300        Industrial/commercial equipment & materials        Industrial process furnaces and ovens        X
3568        M2300        Industrial/commercial equipment & materials        Power transmission equipment, NEC        X
3569        M2300        Industrial/commercial equipment & materials        General industrial machinery, NEC        X
3571        C5110        Computers, components & accessories        Electronic computers        X
3572        C5110        Computers, components & accessories        Computer storage devices        X
3575        C5110        Computers, components & accessories        Computer terminals        X
3577        C5110        Computers, components & accessories        Computer peripheral equipment, NEC        X
3578        M4200        Office machines        Calculating and accounting equipment        X
3579        M4200        Office machines        Office machines, NEC        X
3581        M2300        Industrial/commercial equipment & materials        Automatic vending machines        X
3582        M2300        Industrial/commercial equipment & materials        Laundry equipment, commercial        X
3585        M2300        Industrial/commercial equipment & materials        Refrigeration and heating equipment        X
3586        M2300        Industrial/commercial equipment & materials        Measuring and dispensing pumps        X
3589        M2300        Industrial/commercial equipment & materials        Service industry machinery, NEC        X
3592        T2200        Truck/Automotive parts & accessories        Carburetors, pistons, rings, valves        X
3593        M2300        Industrial/commercial equipment & materials        Fluid power cylinders and actuators        X
3594        M2300        Industrial/commercial equipment & materials        Fluid power pumps and motors        X
3596        M2300        Industrial/commercial equipment & materials        Scales & balances, except laboratory        X
3599        M2300        Industrial/commercial equipment & materials        Industrial machinery, NEC        X
3612        M2300        Industrial/commercial equipment & materials        Transformers, except electronic        X
3613        M2300        Industrial/commercial equipment & materials        Switchgear and switchboard apparatus        X
3621        M2300        Industrial/commercial equipment & materials        Motors and generators        X
3624        M2300        Industrial/commercial equipment & materials        Carbon and graphite products        X
3625        M2300        Industrial/commercial equipment & materials        Relays and industrial controls        X
3629        C5000        Electronics manufacturing & services        Electrical industrial apparatus, NEC        X
3631        M4000        Household & office products        Household cooking equipment        X
3632        M4300        Household appliances        Household refrigerators and freezers        X
3633        M4300        Household appliances        Household laundry equipment        X
3634        M4300        Household appliances        Electric housewares and fans        X
3635        M4300        Household appliances        Household vacuum cleaners        X
3639        M4300        Household appliances        Household appliances, NEC        X
3641        M6000        Electrical lighting products        Electric lamp bulbs and tubes        X
3643        C5000        Electronics manufacturing & services        Currentcarrying wiring devices        X
3644        C5000        Electronics manufacturing & services        Noncurrentcarrying wiring devices        X
3645        M6000        Electrical lighting products        Residential lighting fixtures        X
3646        M6000        Electrical lighting products        Commercial lighting fixtures        X
3647        T2200        Truck/Automotive parts & accessories        Vehicular lighting equipment        X
3648        M6000        Electrical lighting products        Lighting equipment, NEC        X
3651        C5000        Electronics manufacturing & services        Household audio and video equipment        X
3652        C2600        Recorded Music & music production        Prerecorded records and tapes        
3661        C4600        Telephone & communications equipment        Telephone and telegraph apparatus        X
3663        C4600        Telephone & communications equipment        Radio & TV communications equipment        X
3669        C4600        Telephone & communications equipment        Communications equipment, NEC        X
3671        C5000        Electronics manufacturing & services        Electron tubes        X
3672        C5000        Electronics manufacturing & services        Printed circuit boards        X
3674        C5110        Computers, components & accessories        Semiconductors and related devices        X
3675        C5000        Electronics manufacturing & services        Electronic capacitors        X
3676        C5000        Electronics manufacturing & services        Electronic resistors        X
3677        C5000        Electronics manufacturing & services        Electronic coils and transformers        X
3678        C5000        Electronics manufacturing & services        Electronic connectors        X
3679        C5000        Electronics manufacturing & services        Electronic components, NEC        X
3691        M2300        Industrial/commercial equipment & materials        Storage batteries        X
3692        M2300        Industrial/commercial equipment & materials        Primary batteries, dry and wet        X
3694        M2300        Industrial/commercial equipment & materials        Engine electrical equipment        X
3695        M2300        Industrial/commercial equipment & materials        Magnetic and optical recording media        X
3699        M2300        Industrial/commercial equipment & materials        Electrical equipment and supplies, NEC        X
3711        T2100        Auto manufacturers        Motor vehicles and car bodies        X
3713        T3200        Truck & trailer manufacturers        Truck and bus bodies        X
3714        T2200        Truck/Automotive parts & accessories        Motor vehicle parts and accessories        X
3715        T3200        Truck & trailer manufacturers        Truck trailers        X
3716        T8200        Motor homes & camper trailers        Motor homes        X
3721        T1200        Aircraft manufacturers        Aircraft        
3724        T1300        Aircraft parts & equipment        Aircraft engines and engine parts        X
3728        T1300        Aircraft parts & equipment        Aircraft equipment, NEC        X
3731        T6100        Ship building & repair        Ship building and repairing        X
3732        T6100        Ship building & repair        Boat building and repairing        X
3743        T5200        Manufacturers of railroad equipment        Railroad equipment        
3751        T8100        Motorcycles, snowmobiles & other motorized vehicle        Motorcycles, bicycles, and parts        X
3761        T1700        Space vehicles & components        Guided missiles and space vehicles        X
3764        T1700        Space vehicles & components        Space propulsion units and parts        X
3769        T1700        Space vehicles & components        Space vehicle equipment, NEC        X
3792        T8200        Motor homes & camper trailers        Travel trailers and campers        X
3795        D8000        Ground-based & other weapons systems        Tanks and tank components        
3799        N/A                Transportation equipment, NEC        X
3812        N/A                Search and navigation equipment        X
3821        M2300        Industrial/commercial equipment & materials        Lab apparatus & furniture        X
3822        M2300        Industrial/commercial equipment & materials        Environmental controls        X
3823        M2300        Industrial/commercial equipment & materials        Process control instruments        X
3824        M2300        Industrial/commercial equipment & materials        Fluid meters and counting devices        X
3825        M9000        Precision instruments        Instruments to measure electricity        X
3826        M9000        Precision instruments        Analytical instruments        X
3827        M9100        Optical instruments & lenses        Optical instruments and lenses        X
3829        M9000        Precision instruments        Measuring & controlling devices, NEC        X
3841        H4100        Medical supplies manufacturing & sales        Surgical and medical instruments        X
3842        H4100        Medical supplies manufacturing & sales        Surgical appliances and supplies        X
3843        H4100        Medical supplies manufacturing & sales        Dental equipment and supplies        X
3844        H4100        Medical supplies manufacturing & sales        Xray apparatus and tubes        X
3845        H4100        Medical supplies manufacturing & sales        Electromedical equipment        X
3851        M9100        Optical instruments & lenses        Ophthalmic goods        X
3861        M9200        Photographic equipment & supplies        Photographic equipment and supplies        X
3873        M9300        Clocks & watches        Watches, clocks, and watchcases        
3911        M3400        Jewelry        Jewelry, precious metal        X
3914        M5000        Fabricated metal products        Silverware and plated ware        X
3915        M3400        Jewelry        Jewelers' materials & lapidary work        X
3931        M4000        Household & office products        Musical instruments        X
3942        M3500        Toys        Dolls and stuffed toys        X
3944        M3500        Toys        Games, toys, and children's vehicles        X
3949        M3600        Sporting goods sales & manufacturing        Sporting and athletic goods, NEC        X
3951        M4000        Household & office products        Pens and mechanical pencils        X
3952        M4000        Household & office products        Lead pencils and art goods        X
3953        M4000        Household & office products        Marking devices        X
3955        M4000        Household & office products        Carbon paper and inked ribbons        X
3961        M3400        Jewelry        Costume jewelry        X
3965        M2300        Industrial/commercial equipment & materials        Fasteners, buttons, needles, & pins        X
3981        N/A                Diversified conglomerate        X
3991        M4000        Household & office products        Brooms and brushes        X
3993        G5210        Advertising & public relations services        Signs and advertising displays        X
3995        M2300        Industrial/commercial equipment & materials        Burial caskets        X
3996        B5000        Building materials        Hard surface floor coverings        X
3999        M2300        Industrial/commercial equipment & materials        Manufacturing industries, NEC        X
4011        T5100        Railroads        Railroads, linehaul operating        
4013        T5300        Railroad services        Rail switching and terminal services        X
4111        T4000        Buses & Taxis        Local and suburban transit        X
4119        T4000        Buses & Taxis        Local passenger transportation, NEC        X
4121        T4200        Taxicabs        Taxicabs        
4131        T4100        Bus services        Bus transportation, intercity        X
4141        T4100        Bus services        Bus charter service, local        X
4142        T4100        Bus services        Bus charter service, except local        X
4151        T4100        Bus services        School buses        X
4173        T4000        Buses & Taxis        Bus terminal and service facilities        X
4212        T3100        Trucking companies & services        Local trucking without storage        X
4213        T3100        Trucking companies & services        Trucking, except local        X
4214        T3100        Trucking companies & services        Trucking and storage, local        X
4215        T7100        Express delivery services        Courier services, except by air        
4221        A4000        Agricultural services & related industries        Farm product warehousing and storage        X
4222        T7200        Warehousing        Refrigerated warehousing        X
4225        T7200        Warehousing        General warehousing and storage        X
4226        T7200        Warehousing        Special warehousing & storage, NEC        X
4231        T3100        Trucking companies & services        Trucking terminal facilities        X
4311        L1500        US Postal Service unions & associations        U.S. Postal Service        
4412        T6200        Sea freight & passenger services        Deep sea foreign transportation,freight        X
4424        T6200        Sea freight & passenger services        Deep sea domestic trans, freight        X
4432        T6200        Sea freight & passenger services        Freight trans:Great LakesSt. Lawrence        X
4449        T6200        Sea freight & passenger services        Water transportation of freight, NEC        X
4481        T6200        Sea freight & passenger services        Deep sea passenger trans, exc ferry        X
4482        T6200        Sea freight & passenger services        Ferries        X
4489        T6200        Sea freight & passenger services        Water transportation of passenger, NEC        X
4491        T6200        Sea freight & passenger services        Marine cargo handling        X
4492        T6200        Sea freight & passenger services        Towing and tugboat services        X
4493        T6000        Sea transport        Marinas        
4499        T6200        Sea freight & passenger services        Water transportation services, NEC        X
4512        T1100        Airlines        Air transportation, scheduled        
4513        T1500        Air Freight        Air courier services        
4522        T1000        Air transport        Air transportation, nonscheduled        
4581        T1600        Aviation services & airports        Airports, flying fields, & services        
4612        E1100        Oil & Gas        Crude petroleum pipe lines        X
4613        E1100        Oil & Gas        Refined petroleum pipe lines        X
4619        N/A                Pipe lines, NEC        X
4724        T9400        Travel agents        Travel agencies        X
4725        T9400        Travel agents        Tour operators        X
4729        T9400        Travel agents        Passenger transport arrangement, NEC        X
4731        T0000        Transportation        Freight transportation arrangement        X
4741        T5300        Railroad services        Rental of railroad cars        X
4783        T0000        Transportation        Packing and crating        X
4785        T3100        Trucking companies & services        Inspection & fixed facilities        X
4789        N/A                Transportation services, NEC        X
4812        C4100        Telephone utilities        Radiotelephone communications        X
4813        C4100        Telephone utilities        Telephone communications, exc radio        X
6163        F1400        Credit agencies & finance companies        Loan brokers        X
6211        F2100        Security brokers & investment companies        Security brokers and dealers        X
6221        F2200        Commodity brokers/dealers        Commodity contracts brokers, dealers        
6231        F2400        Stock exchanges        Security and commodity exchanges        
6282        F2100        Security brokers & investment companies        Investment advice        X
6289        F2100        Security brokers & investment companies        Security and commodity services, NEC        X
6311        F3300        Life insurance        Life insurance        
6321        F3200        Accident & health insurance        Accident and health insurance        X
6324        F3200        Accident & health insurance        Hospital and medical service plans        X
6331        F3400        Property & casualty insurance        Fire, marine, and casualty insurance        
6341        F3100        Insurance companies, brokers & agents        Insurance Mgmt and holding        X
6351        F3100        Insurance companies, brokers & agents        Surety insurance        X
6361        F4300        Title insurance & title abstract offices        Title insurance        X
6371        F2000        Securities, Diversified        Pension, health, and welfare funds        
6399        F3100        Insurance companies, brokers & agents        Insurance carriers, NEC        X
6411        F3100        Insurance companies, brokers & agents        Insurance agents, brokers, & service        X
6512        F4500        Building operators and managers        Nonresidential building operators        X
6513        F4500        Building operators and managers        Apartment building operators        X
6514        F4500        Building operators and managers        Dwelling operators, exc apartments        X
6515        F4400        Mobile home dealers & parks        Mobile home site operators        X
6517        T5300        Railroad services        Railroad property lessors        X
6519        F4500        Building operators and managers        Real property lessors, NEC        X
6531        F4200        Real estate agents & managers        Real estate agents and managers        
6541        F4300        Title insurance & title abstract offices        Title abstract offices        X
6552        F4100        Real Estate developers & subdividers        Subdividers and developers, NEC        X
6553        G5400        Funeral services        Cemetery subdividers and developers        X
6712        F1100        Commercial banks & bank holding companies        Bank holding companies        X
6719        N/A                Holding companies, NEC        X
6722        F2100        Security brokers & investment companies        Management investment, openend        X
6726        F2100        Security brokers & investment companies        Investment offices, NEC        X
6732        X4000        Non-Profits        Educational, religious, etc trusts        X
6733        F7000        Investors        Trusts, NEC        
6792        E1120        Independent oil & gas producers        Oil royalty traders        X
6794        N/A                Patent owners and lessors        X
4822        C4500        Other Communications Services        Telegraph & other communications        X
4832        C2100        Commercial TV & radio stations        Radio broadcasting stations        X
4833        C2100        Commercial TV & radio stations        Television broadcasting stations        X
4841        C2200        Cable & satellite TV production & distribution        Cable and other pay TV services        
4899        C4500        Other Communications Services        Communication services, NEC        X
4911        E1600        Electric Power utilities        Electric services        
4922        E1140        Natural Gas transmission & distribution        Natural gas transmission        X
4923        E1140        Natural Gas transmission & distribution        Gas transmission and distribution        X
4924        E1140        Natural Gas transmission & distribution        Natural gas distribution        X
4925        E1140        Natural Gas transmission & distribution        Gas production and/or distribution        X
4931        E1620        Gas & Electric Utilities        Electric and other services combined        X
4932        E1140        Natural Gas transmission & distribution        Gas and other services combined        X
4939        E1620        Gas & Electric Utilities        Combination utility services, NEC        X
4941        E5000        Water Utilities        Water supply        
4952        E3000        Waste management        Sewerage systems        X
4953        E3000        Waste management        Refuse systems        X
4959        E3000        Waste management        Sanitary services, NEC        X
4961        E1000        Energy production & distribution        Steam and airconditioning supply        
4971        A4000        Agricultural services & related industries        Irrigation systems        X
5012        T2100        Auto Manufacturers        Motor vehicles wholesale        X
5013        T2200        Truck/Automotive parts & accessories        Automotive parts wholesale        X
5014        T2200        Truck/Automotive parts & accessories        Tires and tubes whsle        X
5015        T2200        Truck/Automotive parts & accessories        Motor vehicle parts, used        X
5021        M4100        Furniture & wood products        Furniture wholesale        X
5023        M4100        Furniture & wood products        Home furnishings wholesale        X
5031        A5000        Forestry & Forest Products        Lumber wholesale        X
5032        B5100        Stone, clay, glass & concrete products        Brick, stone, and related construct mtl        X
5033        B5000        Building materials        Roofing, siding, and insulation materials        X
5039        B5000        Building materials        Construction mtls, whsle, NEC        X
5043        M9200        Photographic equipment & supplies        Photographic eqp wholesale        X
5044        M4000        Household & office products        Office equipment, whsle        X
5045        C5100        Computer manufacture & services        Computers, peripherals & software, whsle        X
5046        M2300        Industrial/commercial equipment & materials        Commercial equipment, whsle, NEC        X
5047        H4100        Medical supplies manufacturing & sales        Medical and hospital equipment, whsle        X
5048        M9100        Optical instruments & lenses        Ophthalmic goods, whsle        X
5049        G3000        Wholesale trade        Professional eqp, whsle, NEC        X
5051        M5000        Fabricated metal products        Metals service centers and offices        X
5052        E1200        Mining        Coal and minerals whsle        
5063        E1700        Power plant construction & equipment        Electrical apparatus and eqp, whsle        
5064        M4300        Household appliances        Appliances wholesale        X
5065        N/A                Electronic parts and eqp, whsle        X
5072        M5100        Hardware & tools        Hardware wholesale        X
5074        B5300        Plumbing & pipe products        Plumbing & heating wholesale        X
5075        B3400        Plumbing, Heating & Air conditioning        Heating & AC whsle        X
5078        M2300        Industrial/commercial equipment & materials        Refrigeration eqp whsle        X
5082        B6000        Construction equipment        Construction eqp whsle        X
5083        A4200        Farm machinery & equipment        Farm eqp wholesale        X
5084        M2300        Industrial/commercial equipment & materials        Industrial eqp wholesale        X
5085        M2300        Industrial/commercial equipment & materials        Industrial supplies whsle        X
5087        M2300        Industrial/commercial equipment & materials        Service company eqp whsle        X
5088        N/A                Transportation eqp whsle        X
5091        M3600        Sporting goods sales & manufacturing        Sporting and recreational goods, whsle        X
5092        M3500        Toys        Toys, hobby goods and supplies, whsle        X
5093        M2400        Recycling of metal, paper, plastics, etc.        Scrap and waste materials        
5094        M3400        Jewelry        Jewelry & watches whsle        X
5099        G3000        Wholesale trade        Durable goods, NEC, whsle        X
5111        M7000        Paper, glass & packaging materials        Printing paper wholesale        X
5112        G3000        Wholesale trade        Stationery supplies whsle        X
5113        M7000        Paper, glass & packaging materials        Industrial paper whsle        X
5122        H4400        Pharmaceutical wholesale/retail        Drugs & toiletries whsle        
5131        G3000        Wholesale trade        Piece goods and notions, whsle        X
5136        M3100        Clothing & accessories        Men's clothing wholesale        X
5137        M3100        Clothing & accessories        Women's & children's clothing, whsle        X
5139        M3200        Shoes & leather products        Footwear wholesale        X
5141        G2500        Food wholesalers        Groceries whsle, general line        X
5142        G2500        Food wholesalers        Frozen foods wholesale        X
5143        A2000        Milk & dairy producers        Dairy products wholesale        X
5144        A2300        Poultry & eggs        Poultry products wholesale        X
5145        G2200        Confectionary processors & manufacturers        Confectionery wholesale        X
5146        G2350        Fish Processing        Fish and seafoods whsle        X
5147        G2300        Meat processing & products        Meat products wholesale        X
5148        A1400        Vegetables, fruits and tree nut        Fruits & vegetables whsle        X
5149        G2500        Food wholesalers        Groceries, NEC, wholesale        X
5153        A1500        Wheat, corn, soybeans and cash grain        Grain and beans wholesale        X
5154        A3000        Livestock        Livestock wholesale        X
5159        A4000        Agricultural services & related industries        Farmprod raw mtls whsle, NEC        X
5162        M1500        Plastics & Rubber processing & products        Plastics materials and shapes, whsle        X
5169        M1000        Chemicals        Chemicals & allied products, NEC, whsle        X
5171        E1160        Petroleum refining & marketing        Petroleum bulk stations & terminals        X
5172        E1160        Petroleum refining & marketing        Petroleum products whsle, NEC        X
5181        G2850        Liquor wholesalers        Beer and ale wholesale        X
5182        G2850        Liquor wholesalers        Wines & spirits wholesale        X
5191        A4000        Agricultural services & related industries        Farm supplies wholesale        X
5192        C1100        Book, newspaper & periodical publishing        Books,periodicals,and newspapers, whsle        X
5193        A8000        Florists & Nursery Services        Flowers and florists' supplies, whsle        X
5194        A1300        Tobacco & Tobacco products        Tobacco products wholesale        X
5198        M1600        Paints, Solvents and Coatings        Paint products wholesale        X
5199        G3000        Wholesale trade        Nondurable goods whsle, NEC        X
5211        B5200        Lumber and wood products        Lumber & bldg mtls retail        
5231        G4500        Hardware & building materials stores        Paint, glass, and wallpaper stores        X
5251        G4500        Hardware & building materials stores        Hardware stores        X
5261        G4600        Miscellaneous retail stores        Retail nurseries and garden stores        X
5271        F4400        Mobile home dealers & parks        Mobile home dealers        X
5311        G4300        Department, variety & convenience stores        Department stores        X
5331        G4300        Department, variety & convenience stores        Variety stores        X
5399        G4300        Department, variety & convenience stores        Miscellaneous general merchandise stores        X
5411        G2400        Food stores        Grocery stores        X
5421        G2400        Food stores        Meat and fish markets        X
5431        G2400        Food stores        Fruit and vegetable markets        X
5441        G4600        Miscellaneous retail stores        Candy, nut, and confectionery stores        X
5451        A2000        Milk & dairy producers        Dairy products stores        X
5461        G2100        Food and kindred products manufacturing        Retail bakeries        X
5499        G4600        Miscellaneous retail stores        Miscellaneous food stores        X
5511        T2300        Auto dealers, new & used        Car dealers, new and used        X
5521        T2300        Auto dealers, new & used        Used car dealers        X
5531        G4600        Miscellaneous retail stores        Auto and home supply stores        X
5541        E1170        Gasoline service stations        Gasoline service stations        
5551        T8300        Pleasure boats        Boat dealers        
5561        T8200        Motor homes & camper trailers        Recreational vehicle dealers        X
5571        T8100        Motorcycles, snowmobiles & other motorized vehicle        Motorcycle dealers        X
5599        T8100        Motorcycles, snowmobiles & other motorized vehicle        Automotive dealers, NEC        X
5611        G4100        Apparel & accessory stores        Men's & boys' clothing stores        X
5621        G4100        Apparel & accessory stores        Women's clothing stores        X
5632        G4100        Apparel & accessory stores        Women's accessory and specialty stores        X
5641        G4100        Apparel & accessory stores        Children's and infants' wear stores        X
5651        G4100        Apparel & accessory stores        Family clothing stores        X
5661        G4100        Apparel & accessory stores        Shoe stores        X
5699        G4100        Apparel & accessory stores        Apparel & accessory stores, misc        X
5712        G4400        Furniture & appliance stores        Furniture stores        X
5713        G4500        Hardware & building materials stores        Floor covering stores        X
5714        G4600        Miscellaneous retail stores        Drapery and upholstery stores        X
5719        G4600        Miscellaneous retail stores        Misc home furnishings stores        X
5722        G4400        Furniture & appliance stores        Household appliance stores        X
5731        G4200        Consumer electronics & computer stores        Radio, TV, & electronic stores        
5734        G4200        Department, variety & convenience stores        Computer and software stores        X
5735        G4600        Miscellaneous retail stores        Record and prerecorded tape stores        X
5736        G4600        Miscellaneous retail stores        Musical instrument stores        X
5812        G2900        Restaurants & drinking establishments        Eating places        X
5813        G2900        Restaurants & drinking establishments        Drinking places        X
5912        G4900        Drug stores        Drug stores and proprietary stores        
5921        G2840        Liquor stores        Liquor stores        
5932        G4600        Miscellaneous retail stores        Used merchandise stores        X
5941        M3600        Sporting goods sales & manufacturing        Sporting goods and bicycle shops        X
5942        G4600        Miscellaneous retail stores        Book stores        X
5943        G4600        Miscellaneous retail stores        Stationery stores        X
5944        G4600        Miscellaneous retail stores        Jewelry stores        X
5945        G4600        Miscellaneous retail stores        Hobby, toy, and game shops        X
5946        G4600        Miscellaneous retail stores        Camera & photographic supply stores        X
5947        G4600        Miscellaneous retail stores        Gift, novelty, and souvenir shops        X
5948        G4600        Miscellaneous retail stores        Luggage and leather goods stores        X
5949        G4600        Miscellaneous retail stores        Sewing, needlework, and piece goods        X
5961        G4700        Catalog & mail order houses        Catalog and mailorder houses        
5962        G4850        Vending Machine Sales & Services        Vending machine operators        
5963        G4800        Direct sales        Direct selling organizations        
5983        E1180        Fuel oil dealers        Fuel oil dealers        X
5984        E1190        LPG/Liquid Propane dealers & producers        Liquified petroleum gas dealers        
5989        E1180        Fuel oil dealers        Fuel dealers, NEC        X
5992        A8000        Florists & Nursery Services        Florists        X
5993        G4600        Miscellaneous retail stores        Tobacco stores and stands        X
5994        G4600        Miscellaneous retail stores        News dealers and newsstands        X
5995        H3300        Optical services (glasses & contact lenses)        Optical goods stores        
5999        G4600        Miscellaneous retail stores        Retail stores miscellaneous        X
6011        F1100        Commercial banks & bank holding companies        Federal Reserve banks        X
6019        F1100        Commercial banks & bank holding companies        Central reserve depository, NEC        X
6021        F1100        Commercial banks & bank holding companies        National commercial banks        X
6022        F1100        Commercial banks & bank holding companies        State commercial banks        X
6029        F1100        Commercial banks & bank holding companies        Commercial banks, NEC        X
6035        F1200        Savings banks & Savings and Loans        Federal savings institutions        X
6036        F1200        Savings banks & Savings and Loans        Savings institutions, except federal        X
6061        F1300        Credit unions        Federal credit unions        X
6062        F1300        Credit unions        State credit unions        X
6081        F1100        Commercial banks & bank holding companies        Branches and agencies of foreign banks        X
6082        F1100        Commercial banks & bank holding companies        Foreign trade and international banks        X
6091        F1100        Commercial banks & bank holding companies        Nondeposit trust facilities        X
6099        F1000        Banks & lending institutions        Functions related to deposit banking        
6111        F1400        Credit agencies & finance companies        Federal & fedsponsored credit agencies        X
6141        F1400        Credit agencies & finance companies        Personal credit institutions        X
6153        F1400        Credit agencies & finance companies        Shortterm business credit        X
6159        F1400        Credit agencies & finance companies        Business credit institutions, misc        X
6162        F4600        Mortgage bankers and brokers        Mortgage bankers and correspondents        
6798        F4100        Real Estate developers & subdividers        Real estate investment trusts        X
6799        F7000        Investors        Investors, NEC        
7011        T9100        Hotels & motels        Hotels and motels        X
7021        T9100        Hotels & motels        Rooming and boarding houses        X
7032        T9000        Lodging & tourism        Sporting and recreational camps        X
7033        T9000        Lodging & tourism        Trailer parks and campsites        X
7041        T9100        Hotels & motels        Membershipbasis organization hotels        X
7211        G5500        Laundries & dry cleaners        Power laundries, family & commercial        X
7212        G5500        Laundries & dry cleaners        Garment pressing & cleaners' agents        X
7213        G5500        Laundries & dry cleaners        Linen supply        X
7215        G5500        Laundries & dry cleaners        Coinoperated laundries and cleaning        X
7216        G5500        Laundries & dry cleaners        Dry cleaning plants, except rug        X
7217        G5500        Laundries & dry cleaners        Carpet and upholstery cleaning        X
7218        G5500        Laundries & dry cleaners        Industrial launderers        X
7219        G5500        Laundries & dry cleaners        Laundry and garment services, NEC        X
7221        G5240        Commercial photography, art & graphic design        Photographic studios, portrait        X
7231        G5100        Beauty & barber shops        Beauty shops        X
7241        G5100        Beauty & barber shops        Barber shops        X
7251        G5600        Miscellaneous repair services        Shoe repair and shoeshine parlors        X
7261        G5400        Funeral services        Funeral service and crematories        X
7291        F5300        Tax return services        Tax return preparation services        
7299        G5000        Services        Miscellaneous personal services        X
7311        G5210        Advertising & public relations services        Advertising agencies        X
7312        G5230        Outdoor advertising services        Outdoor advertising services        
7313        G5210        Advertising & public relations services        Radio, TV, publisher representatives        X
7319        G5210        Advertising & public relations services        Advertising, NEC        X
7322        F5200        Credit reporting services & collection agencies        Adjustment and collection services        X
7323        F5200        Credit reporting services & collection agencies        Credit reporting services        X
7331        G5220        Direct mail advertising services        Direct mail advertising services        
7334        G5000        Services        Photocopying & duplicating services        X
7335        G5240        Commercial photography, art & graphic design        Commercial photography        X
7336        G5240        Commercial photography, art & graphic design        Commercial art and graphic design        X
7338        G5200        Business services        Secretarial & court reporting        X
7342        G5700        Pest control        Disinfecting and exterminating        
7349        G5200        Business services        Building maintenance services, NEC        X
7352        H4100        Medical supplies manufacturing & sales        Medical equipment rental        X
7353        B6000        Construction equipment        Heavy construction equipment rental        X
7359        G5300        Equipment rental & leasing        Equipment rental & leasing, NEC        X
7361        G5250        Employment agencies        Employment agencies        X
7363        G5250        Employment agencies        Help supply services        X
7371        C5130        Data processing & computer services        Computer programming services        X
7372        C5120        Computer software        Prepackaged software        
7373        C5130        Data processing & computer services        Computer integrated systems design        X
7374        C5130        Data processing & computer services        Data processing and preparation        X
7375        C5130        Data processing & computer services        Information retrieval services        X
7376        C5130        Data processing & computer services        Computer facilities management        X
7377        C5100        Computer manufacture & services        Computer rental and leasing        X
7378        C5100        Computer manufacture & services        Computer maintenance and repair        X
7379        C5130        Data processing & computer services        Computer related services, NEC        X
7381        G5290        Security services        Detective, guard, & armored car svcs        X
7382        G5290        Security services        Security systems services        X
7383        C1100        Book, newspaper & periodical publishing        News syndicates        X
7384        G5000        Services        Photofinishing laboratories        X
7389        G5200        Business services        Business services, NEC        X
7513        T2500        Car & truck rental agencies        Truck rental and leasing        X
7514        T2500        Car & truck rental agencies        Passenger car rental        X
7515        T2500        Car & truck rental agencies        Passenger car leasing        X
7519        G5300        Equipment rental & leasing        Utility trailer rental        X
7521        F4500        Building operators and managers        Automobile parking        X
7532        T2400        Auto repair        Top & body repair & paint shops        X
7533        T2400        Auto repair        Auto exhaust system repair shops        X
7534        T2400        Auto repair        Tire retreading and repair shops        X
7536        T2400        Auto repair        Automotive glass replacement shops        X
7537        T2400        Auto repair        Automotive transmission repair shops        X
7538        T2400        Auto repair        General automotive repair shops        X
7539        T2400        Auto repair        Automotive repair shops, NEC        X
7542        T2000        Automotive & Trucking        Car washes        X
7549        T2000        Automotive & Trucking        Automotive services, NEC        X
7622        G5600        Miscellaneous repair services        Radio and television repair        X
7623        G5600        Miscellaneous repair services        Refrigeration service and repair        X
7629        G5600        Miscellaneous repair services        Electrical repair shops, NEC        X
7631        G5600        Miscellaneous repair services        Watch, clock, and jewelry repair        X
7641        G5600        Miscellaneous repair services        Reupholstery and furniture repair        X
7692        G5600        Miscellaneous repair services        Welding repair        X
7694        G5600        Miscellaneous repair services        Armature rewinding shops        X
7699        G5600        Miscellaneous repair services        Repair services, NEC        X
7812        C2400        Motion picture/TV production & distribution        Motion picture & video production        X
7819        C2400        Motion picture/TV production & distribution        Services allied to motion pictures        X
7822        C2400        Motion picture/TV production & distribution        Motion picture and tape distribution        X
7829        C2400        Motion picture/TV production & distribution        Motion picture distribution services        X
7832        C2700        Movie Theaters        Motion picture theaters, ex drivein        X
7833        C2700        Movie Theaters        Drivein motion picture theaters        X
7841        G6800        Video tape rental        Video tape rental        
7911        G6100        Amusement/recreation centers        Dance halls, studios, and schools        X
7922        C2900        Live theater & other entertainment productions        Theatrical producers and services        
7929        C2800        Bands, orchestras & other live music production        Entertainers & entertainment groups        
7933        G6100        Amusement/recreation centers        Bowling alleys        X
7941        G6400        Professional sports, arenas & related equip & svcs        Sports clubs, managers, & promoters        
7948        G6500        Casinos, racetracks & gambling        Racing, including track operation        
7991        G5800        Physical fitness centers        Physical fitness facilities        
7992        G6100        Amusement/recreation centers        Public golf courses        X
7993        G6100        Amusement/recreation centers        Coinoperated amusement devices        X
7996        G6700        Amusement parks        Amusement parks        
7997        G6100        Amusement/recreation centers        Membership sports & recreation clubs        X
7999        G6100        Amusement/recreation centers        Amusement and recreation, NEC        X
